FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,batiment_nom,batiment_fonction,batiment_annee,geometry
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2aef,Plateaux,Haho,Haho 1,Hahomégbé,Bâtiment 3,Salle de classe,2014,"MULTIPOLYGON (((0.9560430255025333 6.9105538279427385, 0.9561096407035118 6.910550194357306, 0.9561169610552671 6.910444820367643, 0.9560496138191132 6.910444820367638, 0.9560430255025333 6.9105538279427385)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2af0,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Bâtiment 3,Bureau,1992,"MULTIPOLYGON (((1.187846468779764 6.225383284093769, 1.1879448770239336 6.225384744212167, 1.1879434082441704 6.225333640065845, 1.1878494063392917 6.225335100184379, 1.187846468779764 6.225383284093769)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2af1,Centrale,Blitta,Blitta 2,Tcharè-Baou,Bâtiment 5,Salle de classe,Nsp,"MULTIPOLYGON (((1.1339519130754536 8.10188905227337, 1.1339096596173528 8.101892925581389, 1.1339143544460304 8.101950250535737, 1.133955825432685 8.101951025197229, 1.1339519130754536 8.10188905227337)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2af2,Kara,Kéran,Kéran 3,Nadoba,Bâtiment 3,Cantine,Nsp,"MULTIPOLYGON (((1.046364571185803 10.167609950751144, 1.046389791405183 10.167663249656853, 1.0464535837247975 10.167620172459776, 1.0464261381919402 10.167580015745406, 1.046364571185803 10.167609950751144)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2af3,Kara,Kozah,Kozah 1,Commune De Kara,Bâtiment 7,Non fonctionnel,Nsp,"MULTIPOLYGON (((1.1772290748218894 9.543876750532675, 1.1772026934105242 9.543627206683244, 1.1772791456638683 9.543613933069118, 1.1773060654713847 9.543868786370096, 1.1772290748218894 9.543876750532675)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2af4,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Bâtiment 3,Salle de classe,Nsp,"MULTIPOLYGON (((1.1546825803102638 6.26381574174371, 1.1547526058293383 6.263872919305883, 1.1548259658969418 6.2637627074775475, 1.1547509385550736 6.263716302490235, 1.1546825803102638 6.26381574174371)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2af5,Plateaux,Kloto,Kloto 2,Kpimé,Bâtiment 2,Salle de classe,2021,"MULTIPOLYGON (((0.6127106099442214 7.021073274536222, 0.6127358192713968 7.021045620531754, 0.6127539522962074 7.021063617582468, 0.6127283007001341 7.021088637871333, 0.6127106099442214 7.021073274536222)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2af6,Plateaux,Kloto,Kloto 1,Kpadapé,Bâtiment 2,Salle de classe,2019,"MULTIPOLYGON (((0.5893748909571027 6.833285909088317, 0.5892882283358609 6.833126191651542, 0.5893490702446105 6.833094660712144, 0.589431577808669 6.833252020706738, 0.5893748909571027 6.833285909088317)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2af7,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Bâtiment 2,Salle de classe,2016,"MULTIPOLYGON (((1.2331217149405385 6.24410944762009, 1.2333300836248267 6.244124750627973, 1.2333300836248267 6.244048283402402, 1.2331219374960376 6.244033289827455, 1.2331217149405385 6.24410944762009)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2af8,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Bâtiment 3,Secrétariat,2015,"MULTIPOLYGON (((1.226327927161351 6.268508897536219, 1.2263638878148402 6.268501158787413, 1.2263509123213145 6.268457674387224, 1.22631532239621 6.268466150160428, 1.226327927161351 6.268508897536219)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2af9,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Bâtiment 1,Salle de classe,2021,"MULTIPOLYGON (((1.1400982939533717 6.234015582340947, 1.1401040707572103 6.233950116198693, 1.1400670992126416 6.233950116198694, 1.140061322408802 6.234014433812206, 1.1400982939533717 6.234015582340947)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2afa,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Bâtiment 1,N/a,Nsp,"MULTIPOLYGON (((1.1294487460645386 6.269140122252221, 1.129437205958656 6.269091688737474, 1.1294944787861418 6.269093581993117, 1.1295071745890655 6.269140275554675, 1.1294487460645386 6.269140122252221)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2afb,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Bâtiment 3,N/a,2012,"MULTIPOLYGON (((1.1241130918795947 6.229697649937813, 1.1241759802888307 6.229691182657373, 1.124191160249681 6.2298765779983984, 1.124127187557527 6.229878733757796, 1.1241130918795947 6.229697649937813)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2afc,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Bâtiment 2,N/a,Nsp,"MULTIPOLYGON (((1.1183317938804112 6.2315856297600325, 1.1184990670424553 6.231627812297246, 1.1184744680480379 6.231709731997507, 1.1183127296597366 6.23166632678478, 1.1183317938804112 6.2315856297600325)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2afd,Maritime,Bas-Mono,Bas-Mono 1,Afagnangan,Bâtiment 2,Salle de classe,2018,"MULTIPOLYGON (((1.6229812610123167 6.56555236438888, 1.6229865363429123 6.5654886021291805, 1.6230348935400456 6.565492095951842, 1.6230208259917884 6.5655576051221916, 1.6229812610123167 6.56555236438888)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2afe,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Bâtiment 2,Salle de classe,2020,"MULTIPOLYGON (((1.2360932771362727 6.302396722471296, 1.2361399508171986 6.302357203697544, 1.2360941414636972 6.302296207323453, 1.2360440104730737 6.302331430582605, 1.2360932771362727 6.302396722471296)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2aff,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Bâtiment 1,Salle de classe,Nsp,"MULTIPOLYGON (((1.2117039934679292 6.339756127410534, 1.211788001864809 6.339460841369505, 1.211724483320827 6.339441495036777, 1.2116343279680775 6.339735762861408, 1.2117039934679292 6.339756127410534)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2b00,Maritime,Bas-Mono,Bas-Mono 2,Attitogon,Bâtiment 2,Salle de classe,2009,"MULTIPOLYGON (((1.6410744118296041 6.398295748039789, 1.6411058769021276 6.398380621260632, 1.6410103579319666 6.3984163573494, 1.640977769106853 6.398324783616927, 1.6410744118296041 6.398295748039789)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2b01,Centrale,Blitta,Blitta 2,Langabou,Bâtiment 2,Salle de classe,2022,"MULTIPOLYGON (((1.2175433265428428 8.111287352120964, 1.2176366734571582 8.111291552714606, 1.2176324304155985 8.111182337265596, 1.2175369619805039 8.111176036373404, 1.2175433265428428 8.111287352120964)))"
_mview_educ_batiments_etablissement_scolaire.fid--c72d8f_193da93a8bb_2b02,Maritime,Avé,Avé 1,Assahoun,Bâtiment 2,Salle de classe,2018,"MULTIPOLYGON (((0.9195581687570422 6.455187634592527, 0.919503796370013 6.455151165913275, 0.9195549970344661 6.455088583852628, 0.9196066508021444 6.455124152075095, 0.9195581687570422 6.455187634592527)))"
