FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etablissement_nom,etab_adr,ouverture_jour,etablissement_categorie,terrain,inspection_tutelle,terrain_sport,ministere_tutelle,geometry
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b8c,Centrale,Blitta,Blitta 2,Tcharè-Baou,Atikpaï-losso,JEC Atikpaï-losso,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - entreprise,IEPP Blitta-Ouest,Non,MEPSTA,POINT (1.0520124468179775 8.053312768633045)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b8b,Centrale,Blitta,Blitta 2,Tcharè-Baou,Atikpai akata,JEP Atikpai Akata,91042397,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine Prive de l'Etat,IEPP Blitta-Ouest,Non,MEPSTA,POINT (1.1287549999999997 8.085398333333325)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b8a,Centrale,Blitta,Blitta 2,Tcharè-Baou,Fawiye cope,JEP Fawiye Cope,Néant,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Ouest,Non,MEPSTA,POINT (1.1162773006678917 8.101456376911948)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b89,Centrale,Blitta,Blitta 2,Koffiti,Agbandao,JEP Agbandao,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (1.1874539249265148 8.064913931961827)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b88,Savanes,Tône,Tône 3,Warkambou,Warkambou,JEP Nabonga,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Tône-Ouest,Non,MEPSTA,POINT (-0.0331741570575014 10.78486035920513)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b87,Centrale,Blitta,Blitta 2,Koffiti,Babame,JEP Babame,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Oui,MEPSTA,POINT (1.1778125698626165 8.012989751317319)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b86,Centrale,Blitta,Blitta 3,Atchintsè,School kpodji,JEP Atchintse Ga,92980190,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine Prive de l'Etat,IEPP Blitta-Ouest,Oui,MEPSTA,POINT (0.6827994484304343 8.026904083202702)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b85,Centrale,Blitta,Blitta 2,Koffiti,Samoure-kondji,JEDIL Samoure-kondji,70600936,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (1.1542015685444627 8.052338116396763)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b84,Centrale,Blitta,Blitta 2,Koffiti,Koffiti,JEP Koffiti Gb,90916620,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (1.1568339402770014 8.04289497844916)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b83,Centrale,Blitta,Blitta 2,Koffiti,Tchihe,JEP Tchihe,93848142,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (1.1161714958710591 7.998911039866971)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b82,Centrale,Blitta,Blitta 2,Koffiti,Matekpo,JEP Matekpo,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (1.1481471040861781 8.065897015005174)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b81,Centrale,Blitta,Blitta 2,Koffiti,Lomnava,JEP Koffiti Ga.,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (1.1612716250203223 8.045453074116141)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b80,Centrale,Blitta,Blitta 2,Koffiti,Edjare-cope,JEP Edjare-cope,Nsp,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (1.126618620535255 7.9797282171109165)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b7f,Centrale,Blitta,Blitta 2,Langabou,Assouma-kondji,JEP Assouma-kondji,90208529,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine Prive de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (1.1387066196886213 8.183001684034801)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b7e,Centrale,Blitta,Blitta 2,Langabou,Tale,JEP Tale,70082849,"{Vendredi,Jeudi,Mardi,Lundi,Mercredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (1.200634926384425 8.181411303935855)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b7d,Centrale,Blitta,Blitta 2,Langabou,Nsp,JEP Assouma Kondji Gc,Néant,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (1.1374778685395155 8.16979346847894)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b7c,Centrale,Blitta,Blitta 2,Langabou,Tchrami,JEP Tchrami,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (1.1953520009005891 8.14807084323902)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b7b,Centrale,Blitta,Blitta 2,Langabou,Alomagni,JEP Alomagni,Néant,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (1.1028698177055078 8.134408305801266)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-1b7a,Centrale,Blitta,Blitta 2,Langabou,Langabou,JEP Langabou Zongo,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Blitta-Est,Non,MEPSTA,POINT (1.1315535927686968 8.123464683435902)
